Time (ms),Sensed Force (N),Desired Position (mm),Actual Position (mm)
2883,-4.8635,1.8,2.4
2884,-4.8888,1.7,2.3
2885,-4.8587,1.6,2.3
2886,-4.9198,1.6,2.2
2887,-4.9202,1.5,2.2
2888,-5.0602,1.5,2.1
2889,-5.1363,1.4,2.1
2890,-5.2055,1.4,2.0
2891,-5.1770,1.3,1.9
2892,-5.1932,1.3,1.9
2893,-5.2369,1.2,1.9
2894,-5.2273,1.1,1.8
2895,-5.0813,1.1,1.7
2896,-4.9299,1.0,1.7
2897,-4.8532,1.0,1.6
2898,-4.7981,0.9,1.6
2899,-4.8328,0.9,1.5
2900,-4.8058,0.8,1.5
2901,-4.7624,0.7,1.5
2902,-4.7552,0.7,1.4
2903,-4.6512,0.6,1.3
2904,-4.5297,0.6,1.3
2905,-4.5239,0.5,1.2
2906,-4.6557,0.4,1.2
2907,-4.8095,0.4,1.1
2908,-4.7444,0.3,1.1
2909,-4.5813,0.3,1.0
2910,-4.4801,0.2,1.0
2911,-4.5157,0.1,0.9
2912,-4.6265,0.1,0.9
2913,-4.7248,0.0,0.8
2914,-4.7076,0.0,0.7
2915,-4.5843,-0.1,0.7
2916,-4.5983,-0.2,0.6
2917,-4.5501,-0.2,0.5
2918,-4.5947,-0.3,0.5
2919,-4.6014,-0.3,0.4
2920,-4.5069,-0.4,0.4
2921,-4.4496,-0.5,0.3
2922,-4.3869,-0.5,0.3
2923,-4.3000,-0.6,0.2
2924,-4.2022,-0.7,0.2
2925,-4.1272,-0.7,0.1
2926,-4.2209,-0.8,0.0
2927,-4.6095,-0.8,0.0
2928,-3.5730,-0.9,-0.1
2929,-0.9700,-1.0,-0.1
2930,-0.0850,-1.0,-0.2
2931,0.0795,-1.1,-0.2
2932,1.6357,-1.2,-0.3
2933,2.7501,-1.2,-0.3
2934,2.6710,-1.3,-0.3
2935,3.1500,-1.4,-0.4
2936,4.3276,-1.4,-0.4
2937,4.9288,-1.5,-0.5
2938,5.4448,-1.5,-0.5
2939,6.3284,-1.6,-0.5
2940,6.9129,-1.7,-0.6
2941,7.2628,-1.7,-0.6
2942,7.5906,-1.8,-0.6
2943,7.8165,-1.8,-0.7
2944,8.0289,-1.9,-0.7
2945,8.5189,-1.9,-0.8
2946,8.9417,-2.0,-0.8
2947,9.3407,-2.0,-0.8
2948,9.7131,-2.1,-0.9
2949,10.0226,-2.1,-0.9
2950,10.3983,-2.2,-0.9
2951,10.9019,-2.2,-1.0
2952,11.2411,-2.3,-1.0
2953,11.5205,-2.3,-1.0
2954,11.7507,-2.4,-1.0
2955,12.0131,-2.4,-1.1
2956,12.3655,-2.4,-1.1
2957,12.5955,-2.5,-1.1
2958,12.9655,-2.5,-1.2
2959,13.3287,-2.6,-1.2
2960,13.7731,-2.6,-1.2
2961,14.2898,-2.6,-1.2
2962,14.8967,-2.7,-1.3
2963,15.3644,-2.7,-1.3
2964,15.9873,-2.7,-1.3
2965,16.6095,-2.7,-1.3
2966,17.1983,-2.8,-1.4
2967,17.8204,-2.8,-1.4
2968,18.5446,-2.8,-1.4
2969,19.0961,-2.8,-1.4
2970,19.6342,-2.9,-1.5
2971,20.1517,-2.9,-1.5
2972,20.6212,-2.9,-1.5
2973,20.9884,-2.9,-1.6
2974,21.4021,-2.9,-1.6
2975,21.7267,-2.9,-1.6
2976,21.9846,-2.9,-1.6
2977,22.2990,-2.9,-1.7
2978,22.6406,-2.9,-1.7
2979,22.8970,-2.9,-1.7
2980,23.2015,-2.9,-1.7
2981,23.4531,-2.9,-1.8
2982,23.7516,-2.9,-1.8
2983,24.0861,-2.9,-1.8
2984,24.3471,-2.9,-1.8
2985,24.5750,-2.9,-1.8
2986,24.8256,-2.9,-1.9
2987,25.0443,-2.9,-1.9
2988,25.3313,-2.8,-1.9
2989,25.5306,-2.8,-1.9
2990,25.7026,-2.8,-1.9
2991,25.6948,-2.8,-1.9
2992,25.5477,-2.7,-1.9
2993,25.3676,-2.7,-1.9
2994,25.3343,-2.7,-1.9
2995,25.3716,-2.6,-1.9
2996,25.3715,-2.6,-1.9
2997,25.2638,-2.6,-1.9
2998,25.0915,-2.5,-1.9
2999,24.8871,-2.5,-1.9
3000,24.7241,-2.4,-1.9
3001,24.6656,-2.4,-1.9
3002,24.5932,-2.3,-1.9
3003,24.5253,-2.3,-1.9
3004,24.4389,-2.2,-1.9
3005,24.2892,-2.2,-1.9
3006,24.1814,-2.1,-1.9
3007,24.0340,-2.0,-1.9
3008,23.7368,-2.0,-1.9
3009,23.4581,-1.9,-1.8
3010,23.2619,-1.8,-1.8
3011,22.9308,-1.8,-1.8
3012,22.5525,-1.7,-1.8
3013,22.1495,-1.6,-1.8
3014,21.6524,-1.5,-1.7
3015,21.1340,-1.5,-1.7
3016,20.6742,-1.4,-1.7
3017,20.2017,-1.3,-1.7
3018,19.6533,-1.2,-1.7
3019,19.1571,-1.1,-1.6
3020,18.6158,-1.1,-1.6
3021,18.0929,-1.0,-1.6
3022,17.5073,-0.9,-1.6
3023,17.0174,-0.8,-1.5
3024,16.4491,-0.7,-1.5
3025,15.8931,-0.6,-1.5
3026,15.3904,-0.5,-1.4
3027,14.8519,-0.4,-1.4
3028,14.3237,-0.3,-1.4
3029,13.7065,-0.2,-1.4
3030,13.0124,-0.1,-1.3
3031,12.1550,0.0,-1.3
3032,11.7405,0.1,-1.2
3033,11.1248,0.2,-1.2
3034,10.4389,0.3,-1.1
3035,9.7432,0.4,-1.1
3036,8.4804,0.5,-1.0
3037,7.6885,0.6,-1.0
3038,7.0246,0.7,-1.0
3039,6.2037,0.8,-0.9
3040,5.2947,0.9,-0.9
3041,4.4237,1.0,-0.8
3042,3.5042,1.1,-0.8
3043,2.6155,1.2,-0.7
3044,1.7370,1.3,-0.7
3045,1.0102,1.4,-0.6
3046,0.0229,1.5,-0.6
3047,-1.0237,1.6,-0.5
3048,-2.1139,1.7,-0.4
3049,-3.1578,1.8,-0.4
3050,-4.1016,1.9,-0.3
3051,-5.0522,2.0,-0.2
3052,-6.1938,2.1,-0.2
3053,-6.8643,2.2,-0.1
3054,-6.9180,2.3,0.0
3055,-5.9698,2.4,0.1
3056,-7.0151,2.5,0.2
3057,-6.7694,2.6,0.2
3058,-7.8546,2.7,0.3
3059,-7.3812,2.8,0.4
3060,-7.6080,2.8,0.5
3061,-6.8524,2.9,0.6
3062,-6.8567,3.0,0.7
3063,-6.8516,3.1,0.8
3064,-6.7050,3.2,0.9
3065,-6.3554,3.3,1.1
3066,-6.2817,3.4,1.2
3067,-6.5362,3.4,1.3
3068,-6.7856,3.5,1.4
3069,-6.8115,3.6,1.5
3070,-6.4704,3.7,1.6
3071,-6.5225,3.8,1.7
3072,-6.6143,3.8,1.8
3073,-6.7900,3.9,1.9
3074,-6.8821,4.0,2.0
3075,-6.7789,4.1,2.1
3076,-6.7286,4.1,2.3
3077,-6.5194,4.2,2.4
3078,-6.2917,4.3,2.5
3079,-6.2223,4.4,2.6
3080,-6.2876,4.4,2.7
3081,-6.3081,4.5,2.8
3082,-6.2676,4.6,2.9
3083,-6.0377,4.6,3.0
3084,-5.7329,4.7,3.1
3085,-5.4466,4.7,3.2
3086,-5.2847,4.8,3.4
3087,-5.1669,4.9,3.5
3088,-5.1619,4.9,3.5
3089,-4.9989,5.0,3.7
3090,-4.8724,5.0,3.8
3091,-4.6667,5.1,3.9
3092,-4.3964,5.2,4.0
3093,-4.1550,5.2,4.0
3094,-4.0140,5.3,4.1
3095,-4.0847,5.3,4.2
3096,-4.1087,5.4,4.3
3097,-4.0725,5.4,4.4
3098,-4.1115,5.5,4.5
3099,-4.1265,5.5,4.6
3100,-4.2911,5.6,4.6
3101,-4.4155,5.6,4.7
3102,-4.5778,5.7,4.8
3103,-4.6776,5.7,4.8
3104,-4.6940,5.7,4.9
3105,-4.7255,5.8,5.0
3106,-4.7357,5.8,5.0
3107,-4.7320,5.9,5.1
3108,-4.6532,5.9,5.1
3109,-4.6202,5.9,5.2
3110,-4.5650,6.0,5.3
3111,-4.3431,6.0,5.3
3112,-4.2943,6.1,5.4
3113,-4.2440,6.1,5.4
3114,-4.1963,6.1,5.4
3115,-4.2624,6.2,5.5
3116,-4.2692,6.2,5.5
3117,-4.2005,6.2,5.6
3118,-4.2568,6.2,5.6
3119,-4.4024,6.3,5.7
3120,-4.5695,6.3,5.7
3121,-4.6597,6.3,5.7
3122,-4.6884,6.3,5.8
3123,-4.7661,6.4,5.8
3124,-4.7904,6.4,5.8
3125,-4.8643,6.4,5.8
3126,-4.8841,6.4,5.9
3127,-4.9061,6.5,5.9
3128,-4.9681,6.5,5.9
3129,-5.0868,6.5,6.0
3130,-5.1435,6.5,6.0
3131,-5.2191,6.5,6.0
3132,-5.1922,6.5,6.0
3133,-5.1171,6.5,6.0
3134,-5.0923,6.6,6.1
3135,-5.0955,6.6,6.1
3136,-5.1543,6.6,6.1
3137,-5.1276,6.6,6.1
3138,-5.0801,6.6,6.2
3139,-5.0329,6.6,6.2
3140,-5.0439,6.6,6.2
3141,-5.0378,6.6,6.2
3142,-5.0765,6.6,6.2
3143,-5.0673,6.6,6.3
3144,-5.1190,6.6,6.3
3145,-5.0556,6.6,6.3
3146,-4.9382,6.6,6.3
3147,-4.8268,6.6,6.3
3148,-4.7395,6.6,6.4
3149,-4.7209,6.6,6.4
3150,-4.6837,6.6,6.4
3151,-4.6510,6.6,6.4
3152,-4.6333,6.6,6.4
3153,-4.6752,6.6,6.4
3154,-4.6687,6.6,6.4
3155,-4.5629,6.6,6.4
3156,-4.4856,6.6,6.5
3157,-4.4629,6.6,6.5
3158,-4.4529,6.6,6.5
3159,-4.5131,6.6,6.5
3160,-4.4678,6.5,6.5
3161,-4.3540,6.5,6.5
3162,-4.2998,6.5,6.5
3163,-4.2713,6.5,6.5
3164,-4.2929,6.5,6.5
3165,-4.3840,6.5,6.4
3166,-4.4278,6.5,6.5
3167,-4.5307,6.5,6.4
3168,-4.6272,6.5,6.4
3169,-4.7295,6.5,6.4
3170,-4.8710,6.5,6.4
3171,-5.0096,6.5,6.4
3172,-5.1419,6.4,6.4
3173,-5.2639,6.4,6.4
3174,-5.3486,6.4,6.4
3175,-5.4384,6.4,6.4
3176,-5.5042,6.4,6.4
3177,-5.4911,6.4,6.4
3178,-5.4284,6.4,6.4
3179,-5.2855,6.4,6.3
3180,-5.1901,6.3,6.3
3181,-5.1549,6.3,6.3
3182,-5.2411,6.3,6.3
3183,-5.3238,6.3,6.3
3184,-5.3865,6.3,6.3
3185,-5.3812,6.3,6.3
3186,-5.3826,6.2,6.3
3187,-5.3502,6.2,6.3
3188,-5.3505,6.2,6.3
3189,-5.3457,6.2,6.3
3190,-5.3848,6.2,6.3
3191,-5.3878,6.1,6.3
3192,-5.4406,6.1,6.3
3193,-5.4255,6.1,6.2
3194,-5.3363,6.1,6.2
3195,-5.1697,6.1,6.2
3196,-5.0297,6.0,6.2
3197,-5.0065,6.0,6.2
3198,-5.0298,6.0,6.2
3199,-4.9811,6.0,6.2
3200,-4.8780,5.9,6.2
3201,-4.7693,5.9,6.2
3202,-4.7537,5.9,6.2
3203,-4.8440,5.9,6.2
3204,-4.8830,5.9,6.2
3205,-4.8486,5.8,6.1
3206,-4.7104,5.8,6.1
3207,-4.5881,5.8,6.1
3208,-4.4738,5.7,6.1
3209,-4.4957,5.7,6.1
3210,-4.5475,5.7,6.1
3211,-4.5629,5.7,6.1
3212,-4.5704,5.6,6.0
3213,-4.5654,5.6,6.0
3214,-4.5535,5.6,6.0
3215,-4.5020,5.6,6.0
3216,-4.4885,5.5,6.0
3217,-4.5456,5.5,5.9
3218,-4.7195,5.5,5.9
3219,-4.8180,5.4,5.9
3220,-4.8905,5.4,5.8
3221,-4.8999,5.4,5.8
3222,-4.8764,5.3,5.8
3223,-4.8729,5.3,5.7
3224,-4.8743,5.3,5.7
3225,-4.8931,5.2,5.7
3226,-4.9765,5.2,5.7
3227,-5.0042,5.2,5.6
3228,-4.9462,5.1,5.6
3229,-4.8111,5.1,5.6
3230,-4.7079,5.1,5.5
3231,-4.6583,5.0,5.5
3232,-4.8108,5.0,5.5
3233,-4.8952,5.0,5.4
3234,-4.8846,4.9,5.4
3235,-4.8996,4.9,5.4
3236,-5.0131,4.9,5.3
3237,-5.2049,4.8,5.3
3238,-5.2811,4.8,5.2
3239,-5.2430,4.8,5.2
3240,-5.1477,4.7,5.2
3241,-5.1412,4.7,5.1
3242,-5.2991,4.6,5.1
3243,-5.4891,4.6,5.1
3244,-5.5441,4.6,5.0
3245,-5.5316,4.5,5.0
3246,-5.4614,4.5,4.9
3247,-5.4484,4.4,4.9
3248,-5.3877,4.4,4.9
3249,-5.3102,4.4,4.8
3250,-5.2297,4.3,4.8
3251,-5.2080,4.3,4.8
3252,-5.4204,4.2,4.7
3253,-5.4988,4.2,4.7
3254,-5.4467,4.2,4.6
3255,-5.2915,4.1,4.6
3256,-5.1352,4.1,4.6
3257,-5.1214,4.0,4.5
3258,-5.0749,4.0,4.5
3259,-5.0945,3.9,4.5
3260,-5.1199,3.9,4.4
3261,-5.2090,3.8,4.4
3262,-5.1424,3.8,4.4
3263,-4.9823,3.8,4.3
3264,-4.7679,3.7,4.3
3265,-4.7124,3.7,4.3
3266,-4.7852,3.6,4.2
3267,-4.7836,3.6,4.2
3268,-4.7838,3.5,4.1
3269,-4.6863,3.5,4.1
3270,-4.6160,3.4,4.1
3271,-4.6555,3.4,4.0
3272,-4.7264,3.3,4.0
3273,-4.8278,3.3,3.9
3274,-4.7553,3.2,3.9
3275,-4.6576,3.2,3.9
3276,-4.6545,3.1,3.8
3277,-4.5360,3.1,3.8
3278,-4.5258,3.1,3.7
3279,-4.4028,3.0,3.7
3280,-4.2991,3.0,3.6
3281,-4.3198,2.9,3.6
3282,-4.3406,2.9,3.5
3283,-4.3563,2.8,3.5
3284,-4.2746,2.8,3.4
3285,-4.3612,2.7,3.4
3286,-4.4580,2.7,3.3
3287,-4.6717,2.6,3.3
3288,-4.7430,2.5,3.2
3289,-4.6525,2.5,3.2
3290,-4.5981,2.4,3.1
3291,-4.5518,2.4,3.1
3292,-4.8197,2.3,3.0
3293,-4.9553,2.3,3.0
3294,-4.8902,2.2,2.9
3295,-4.7031,2.2,2.9
3296,-4.5710,2.1,2.8
3297,-4.5665,2.1,2.8
3298,-4.6458,2.0,2.7
3299,-4.7351,2.0,2.7
3300,-4.6406,1.9,2.6
3301,-4.6071,1.9,2.5
3302,-4.6940,1.8,2.5
3303,-4.8401,1.8,2.4
3304,-4.9695,1.7,2.4
3305,-4.9462,1.6,2.3
3306,-4.9526,1.6,2.3
3307,-5.0570,1.5,2.2
3308,-5.1381,1.5,2.1
3309,-5.1404,1.4,2.1
3310,-5.1025,1.4,2.0
3311,-5.1017,1.3,2.0
3312,-5.2233,1.3,1.9
3313,-5.2720,1.2,1.9
3314,-5.2869,1.1,1.8
3315,-5.1390,1.1,1.8
3316,-5.0007,1.0,1.7
3317,-5.0442,1.0,1.7
3318,-5.0036,0.9,1.6
3319,-4.9249,0.8,1.5
3320,-4.8485,0.8,1.5
3321,-4.7393,0.7,1.4
3322,-4.7423,0.7,1.4
3323,-4.7186,0.6,1.3
3324,-4.5850,0.6,1.3
3325,-4.4995,0.5,1.2
3326,-4.4792,0.4,1.2
3327,-4.5210,0.4,1.1
3328,-4.6136,0.3,1.1
3329,-4.5931,0.3,1.0
3330,-4.5342,0.2,1.0
3331,-4.4606,0.1,0.9
3332,-4.4534,0.1,0.8
3333,-4.4998,0.0,0.8
3334,-4.5967,-0.1,0.7
3335,-4.6418,-0.1,0.7
3336,-4.6362,-0.2,0.6
3337,-4.7052,-0.2,0.5
3338,-4.7216,-0.3,0.5
3339,-4.8109,-0.4,0.4
3340,-4.7320,-0.4,0.3
3341,-4.6026,-0.5,0.3
3342,-4.5150,-0.6,0.2
3343,-4.4724,-0.6,0.2
3344,-4.5997,-0.7,0.1
3345,-4.6850,-0.7,0.0
3346,-4.5938,-0.8,0.0
3347,-2.4101,-0.9,-0.1
3348,-0.4671,-0.9,-0.1
3349,-0.1107,-1.0,-0.2
3350,0.5995,-1.1,-0.2
3351,2.2997,-1.1,-0.3
3352,2.8213,-1.2,-0.3
3353,2.7657,-1.3,-0.3
3354,3.7006,-1.3,-0.4
3355,4.5978,-1.4,-0.4
3356,5.1066,-1.4,-0.4
3357,5.7656,-1.5,-0.5
3358,6.5170,-1.6,-0.5
3359,6.8078,-1.6,-0.5
3360,7.1161,-1.7,-0.6
3361,7.5806,-1.7,-0.6
3362,7.6947,-1.8,-0.6
3363,7.9904,-1.8,-0.7
3364,8.3327,-1.9,-0.7
3365,8.7363,-2.0,-0.8
3366,9.1887,-2.0,-0.8
3367,9.5139,-2.1,-0.8
3368,9.8226,-2.1,-0.9
3369,10.1522,-2.2,-0.9
3370,10.4315,-2.2,-0.9
3371,10.6827,-2.2,-1.0
3372,10.9434,-2.3,-1.0
3373,11.2426,-2.3,-1.0
3374,11.4287,-2.4,-1.0
3375,11.6877,-2.4,-1.1
3376,11.9396,-2.5,-1.1
3377,12.2648,-2.5,-1.1
3378,12.6385,-2.5,-1.2
3379,13.0821,-2.6,-1.2
3380,13.6017,-2.6,-1.2
3381,14.1518,-2.6,-1.2
3382,14.7567,-2.7,-1.2
3383,15.4675,-2.7,-1.3
3384,16.1788,-2.7,-1.3
3385,16.7645,-2.8,-1.3
3386,17.3691,-2.8,-1.4
3387,18.0110,-2.8,-1.4
3388,18.5524,-2.8,-1.4
3389,19.2103,-2.8,-1.5
3390,19.6844,-2.9,-1.5
3391,20.1927,-2.9,-1.5
3392,20.5870,-2.9,-1.6
3393,21.0305,-2.9,-1.6
3394,21.3648,-2.9,-1.6
3395,21.6881,-2.9,-1.6
3396,21.9493,-2.9,-1.7
3397,22.2244,-2.9,-1.7
3398,22.5651,-2.9,-1.7
3399,22.9622,-2.9,-1.7
3400,23.3177,-2.9,-1.8
3401,23.6360,-2.9,-1.8
3402,23.9004,-2.9,-1.8
3403,24.1451,-2.9,-1.8
3404,24.3804,-2.9,-1.8
3405,24.7446,-2.9,-1.8
3406,24.9591,-2.9,-1.9
3407,25.1900,-2.9,-1.9
3408,25.3913,-2.8,-1.9
3409,25.5917,-2.8,-1.9
3410,25.6377,-2.8,-1.9
3411,25.5387,-2.8,-1.9
3412,25.3586,-2.7,-1.9
3413,25.1387,-2.7,-1.9
3414,25.0774,-2.7,-1.9
3415,25.1340,-2.6,-1.9
3416,25.1837,-2.6,-1.9
3417,25.0529,-2.5,-1.9
3418,24.8498,-2.5,-1.9
3419,24.6681,-2.5,-1.9
3420,24.5739,-2.4,-1.9
3421,24.5073,-2.4,-1.9
3422,24.4245,-2.3,-1.9
3423,24.3540,-2.3,-1.9
3424,24.2689,-2.2,-1.9
3425,24.1189,-2.1,-1.9
3426,24.0124,-2.1,-1.9
3427,23.7468,-2.0,-1.9
3428,23.3510,-2.0,-1.9
3429,23.0318,-1.9,-1.9
3430,22.7530,-1.8,-1.8
3431,22.3823,-1.7,-1.8
3432,21.9161,-1.7,-1.8
3433,21.4202,-1.6,-1.8
3434,20.7954,-1.5,-1.8
3435,20.3506,-1.4,-1.7
3436,19.9182,-1.4,-1.7
3437,19.4014,-1.3,-1.7
3438,18.9027,-1.2,-1.7
3439,18.4189,-1.1,-1.6
3440,17.8402,-1.0,-1.6
3441,17.3591,-1.0,-1.6
3442,16.8722,-0.9,-1.6
3443,16.5587,-0.8,-1.5
3444,16.1289,-0.7,-1.5
3445,15.6332,-0.6,-1.5
3446,14.9400,-0.5,-1.5
3447,14.5401,-0.4,-1.4
3448,13.9971,-0.3,-1.4
3449,13.3399,-0.2,-1.3
3450,12.7989,-0.1,-1.3
3451,12.0543,0.0,-1.2
3452,11.3116,0.1,-1.2
3453,10.7077,0.2,-1.2
3454,10.0064,0.3,-1.1
3455,9.2158,0.4,-1.1
3456,8.4534,0.5,-1.0
3457,7.6511,0.6,-1.0
3458,6.9423,0.7,-1.0
3459,6.1846,0.8,-0.9
3460,5.3044,0.9,-0.9
3461,4.4372,1.0,-0.8
3462,3.4392,1.1,-0.8
3463,2.3885,1.2,-0.7
3464,1.4139,1.3,-0.7
3465,0.4561,1.4,-0.6
3466,-0.5711,1.5,-0.6
3467,-1.6654,1.6,-0.5
3468,-2.7557,1.7,-0.4
3469,-3.8785,1.8,-0.4
3470,-4.6345,1.9,-0.3
3471,-5.7053,2.0,-0.3
3472,-6.6045,2.1,-0.2
3473,-7.0253,2.2,-0.1
3474,-6.8396,2.3,0.0
3475,-6.5329,2.4,0.1
3476,-7.0486,2.5,0.2
3477,-7.1386,2.6,0.3
3478,-7.4113,2.6,0.4
3479,-6.9367,2.7,0.4
3480,-7.3477,2.8,0.6
3481,-6.8272,2.9,0.7
3482,-6.8120,3.0,0.7
3483,-6.2236,3.1,0.8
3484,-5.9573,3.2,1.0
3485,-5.9106,3.3,1.1
3486,-6.4340,3.3,1.2
3487,-6.8599,3.4,1.3
3488,-6.7068,3.5,1.4
3489,-6.6361,3.6,1.5
3490,-6.5893,3.7,1.6
3491,-6.9521,3.7,1.7
3492,-7.0655,3.8,1.8
3493,-7.0168,3.9,1.9
3494,-6.6609,4.0,2.0
3495,-6.5550,4.0,2.1
3496,-6.7378,4.1,2.2
3497,-6.8071,4.2,2.4
3498,-6.7902,4.3,2.5
3499,-6.6410,4.3,2.6
3500,-6.4663,4.4,2.7
3501,-6.3128,4.5,2.8
3502,-6.0031,4.5,2.9
3503,-5.7021,4.6,3.0
3504,-5.4840,4.7,3.1
3505,-5.5142,4.7,3.2
3506,-5.6289,4.8,3.3
3507,-5.4771,4.8,3.4
3508,-5.1317,4.9,3.5
3509,-4.7112,5.0,3.6
3510,-4.6025,5.0,3.7
3511,-4.5428,5.1,3.8
3512,-4.5699,5.1,3.9
3513,-4.4211,5.2,4.0
3514,-4.3916,5.2,4.1
3515,-4.4363,5.3,4.2
3516,-4.5642,5.3,4.3
3517,-4.5245,5.4,4.4
3518,-4.4620,5.4,4.4
3519,-4.3413,5.5,4.5
3520,-4.3360,5.5,4.6
3521,-4.4717,5.6,4.7
3522,-4.4989,5.6,4.7
3523,-4.5076,5.7,4.8
3524,-4.4418,5.7,4.9
3525,-4.3907,5.8,4.9
3526,-4.3131,5.8,5.0
3527,-4.2961,5.8,5.0
3528,-4.3288,5.9,5.1
3529,-4.2767,5.9,5.2
3530,-4.3323,6.0,5.2
3531,-4.2512,6.0,5.3
3532,-4.2062,6.0,5.3
3533,-4.1081,6.1,5.4
3534,-4.0871,6.1,5.4
3535,-4.0261,6.1,5.5
3536,-4.0213,6.2,5.5
3537,-4.0253,6.2,5.6
3538,-4.0808,6.2,5.6
3539,-4.1920,6.2,5.6
3540,-4.2845,6.3,5.7
3541,-4.4122,6.3,5.7
3542,-4.5567,6.3,5.7
3543,-4.6757,6.3,5.8
3544,-4.7952,6.4,5.8
3545,-4.7819,6.4,5.8
3546,-4.8180,6.4,5.8
3547,-4.8391,6.4,5.9
3548,-4.9704,6.5,5.9
3549,-5.0817,6.5,5.9
3550,-5.0422,6.5,6.0
3551,-4.9193,6.5,6.0
3552,-4.8195,6.5,6.0
3553,-4.7994,6.5,6.0
3554,-4.8010,6.5,6.1
3555,-4.7522,6.6,6.1
3556,-4.8155,6.6,6.1
3557,-4.9088,6.6,6.1
3558,-5.0446,6.6,6.2
3559,-5.0729,6.6,6.2
3560,-5.0410,6.6,6.2
3561,-5.0457,6.6,6.2
3562,-5.1174,6.6,6.2
3563,-5.3441,6.6,6.2
3564,-5.3701,6.6,6.3
3565,-5.2630,6.6,6.3
3566,-5.0990,6.6,6.3
3567,-5.0294,6.6,6.3
3568,-5.0957,6.6,6.3
3569,-5.1063,6.6,6.3
3570,-4.9434,6.6,6.3
3571,-4.7656,6.6,6.4
3572,-4.6281,6.6,6.4
3573,-4.6347,6.6,6.4
3574,-4.6808,6.6,6.4
3575,-4.6930,6.6,6.4
3576,-4.6607,6.6,6.4
3577,-4.6323,6.6,6.4
3578,-4.6428,6.6,6.4
3579,-4.6499,6.6,6.4
3580,-4.5916,6.6,6.4
3581,-4.5470,6.5,6.5
3582,-4.5153,6.5,6.4
3583,-4.5111,6.5,6.4
3584,-4.4808,6.5,6.5
3585,-4.4143,6.5,6.4
3586,-4.4402,6.5,6.4
3587,-4.5184,6.5,6.4
3588,-4.6542,6.5,6.4
3589,-4.7306,6.5,6.4
3590,-4.7958,6.5,6.4
3591,-4.8221,6.5,6.4
3592,-4.8693,6.5,6.4
3593,-4.9170,6.4,6.4
3594,-5.0074,6.4,6.4
3595,-5.0996,6.4,6.4
3596,-5.1569,6.4,6.4
3597,-5.2143,6.4,6.4
3598,-5.2078,6.4,6.4
3599,-5.1547,6.4,6.4
3600,-5.0805,6.3,6.4
3601,-5.0200,6.3,6.4
3602,-5.0306,6.3,6.4
3603,-5.0587,6.3,6.3
3604,-5.0960,6.3,6.3
3605,-5.1168,6.3,6.3
3606,-5.1702,6.3,6.3
3607,-5.1775,6.2,6.3
3608,-5.1789,6.2,6.3
3609,-5.1890,6.2,6.3
3610,-5.1341,6.2,6.3
3611,-5.1520,6.2,6.3
3612,-5.1728,6.1,6.3
3613,-5.2085,6.1,6.3
3614,-5.1949,6.1,6.3
3615,-5.1074,6.1,6.3
3616,-5.0450,6.1,6.3
3617,-5.0487,6.0,6.2
3618,-5.0267,6.0,6.2
3619,-4.9833,6.0,6.2
3620,-4.8538,6.0,6.2
3621,-4.7644,5.9,6.2
3622,-4.7208,5.9,6.2
3623,-4.7031,5.9,6.2
3624,-4.6766,5.9,6.2
3625,-4.6516,5.8,6.2
3626,-4.6209,5.8,6.1
3627,-4.5927,5.8,6.1
3628,-4.5949,5.8,6.1
3629,-4.5726,5.7,6.1
3630,-4.5801,5.7,6.1
3631,-4.6171,5.7,6.1
3632,-4.6562,5.7,6.0
3633,-4.5815,5.6,6.0
3634,-4.6633,5.6,6.0
3635,-4.6652,5.6,6.0
3636,-4.7097,5.6,5.9
3637,-4.6900,5.5,5.9
3638,-4.5915,5.5,5.9
3639,-4.5302,5.5,5.9
3640,-4.5539,5.4,5.9
3641,-4.6619,5.4,5.8
3642,-4.7810,5.4,5.8
3643,-4.7778,5.3,5.8
3644,-4.7528,5.3,5.7
3645,-4.6831,5.3,5.7
3646,-4.7898,5.2,5.7
3647,-4.8261,5.2,5.6
3648,-4.9282,5.2,5.6
3649,-4.8688,5.1,5.6
3650,-4.8323,5.1,5.6
3651,-4.7709,5.1,5.5
3652,-4.7576,5.0,5.5
3653,-4.7790,5.0,5.5
3654,-4.7828,5.0,5.4
3655,-4.7921,4.9,5.4
3656,-4.8613,4.9,5.4
3657,-4.9459,4.9,5.3
3658,-5.0947,4.8,5.3
3659,-5.0753,4.8,5.2
3660,-5.0494,4.8,5.2
3661,-5.0186,4.7,5.2
3662,-5.1487,4.7,5.1
3663,-5.2803,4.6,5.1
3664,-5.3059,4.6,5.1
3665,-5.2639,4.6,5.0
3666,-5.2604,4.5,5.0
3667,-5.2248,4.5,5.0
3668,-5.2770,4.5,4.9
3669,-5.1827,4.4,4.9
3670,-5.0707,4.4,4.9
3671,-5.0321,4.3,4.8
3672,-5.1087,4.3,4.8
3673,-5.1563,4.3,4.7
3674,-5.1194,4.2,4.7
3675,-4.9575,4.2,4.7
3676,-4.9326,4.1,4.6
3677,-5.0322,4.1,4.6
3678,-5.1278,4.0,4.6
3679,-5.0932,4.0,4.5
3680,-4.9166,4.0,4.5
3681,-4.8457,3.9,4.5
3682,-4.7921,3.9,4.4
3683,-4.8953,3.8,4.4
3684,-4.8240,3.8,4.3
3685,-4.7936,3.7,4.3
3686,-4.7058,3.7,4.3
3687,-4.6591,3.6,4.2
3688,-4.6177,3.6,4.2
